search_key,make,model
ford-escape,Ford,Escape
ford-escape_phev,Ford,Escape PHEV
honda-cr_v_hybrid,Honda,CR-V Hybrid
hyundai-tucson_hybrid,Hyundai,TUCSON Hybrid
hyundai-tucson_plug_in_hybrid,Hyundai,TUCSON Plug-In Hybrid
kia-sportage_hybrid,Kia,Sportage Hybrid
kia-sportage_plug_in_hybrid,Kia,Sportage Plug-In Hybrid
mazda-cx_50_hybrid,Mazda,CX-50 Hybrid
subaru-forester_hybrid,Subaru,Forester Hybrid
toyota-rav4_hybrid,Toyota,RAV4 Hybrid
volkswagen-tiguan,Volkswagen,Tiguan
